song,artist,song_clean,artist_clean
Firework,Katy Perry,Firework,Katy Perry
What's My Name?,Rihanna Featuring Drake,What's My Name?,Rihanna
Grenade,Bruno Mars,Grenade,Bruno Mars
Raise Your Glass,P!nk,Raise Your Glass,P!nk
We R Who We R,Ke$ha,We R Who We R,Ke$ha
Only Girl (In The World),Rihanna,Only Girl,Rihanna
Just The Way You Are,Bruno Mars,Just The Way You Are,Bruno Mars
The Time (Dirty Bit),The Black Eyed Peas,The Time,The Black Eyed Peas
Just A Dream,Nelly,Just A Dream,Nelly
Bottoms Up,Trey Songz Featuring Nicki Minaj,Bottoms Up,Trey Songz
Black And Yellow,Wiz Khalifa,Black And Yellow,Wiz Khalifa
Like A G6,Far*East Movement Featuring Cataracs & Dev,Like A G6,Far*East Movement
DJ Got Us Fallin' In Love,Usher Featuring Pitbull,DJ Got Us Fallin' In Love,Usher
Dynamite,Taio Cruz,Dynamite,Taio Cruz
Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,Tonight,Enrique Iglesias
No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,No Hands,Waka Flocka Flame
Please Don't Go,Mike Posner,Please Don't Go,Mike Posner
That's All She Wrote,T.I. Featuring Eminem,That's All She Wrote,T.I.
Stereo Love,Edward Maya & Vika Jigulina,Stereo Love,Edward Maya
Teenage Dream,Katy Perry,Teenage Dream,Katy Perry
Animal,Neon Trees,Animal,Neon Trees
Yeah 3X,Chris Brown,Yeah 3X,Chris Brown
F**k You! (Forget You),CeeLo Green,F**k You!,CeeLo Green
Coming Home,Diddy - Dirty Money Featuring Skylar Grey,Coming Home,Diddy - Dirty Money
Secrets,OneRepublic,Secrets,OneRepublic
Right Thru Me,Nicki Minaj,Right Thru Me,Nicki Minaj
Whip My Hair,WILLOW,Whip My Hair,WILLOW
If I Die Young,The Band Perry,If I Die Young,The Band Perry
Right Above It,Lil Wayne Featuring Drake,Right Above It,Lil Wayne
Club Can't Handle Me,Flo Rida Featuring David Guetta,Club Can't Handle Me,Flo Rida
I Like It,Enrique Iglesias Featuring Pitbull,I Like It,Enrique Iglesias
Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,Hey Baby,Pitbull
Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele,Aston Martin Music,Rick Ross
Back To December,Taylor Swift,Back To December,Taylor Swift
Christmas Lights,Coldplay,Christmas Lights,Coldplay
Deuces,Chris Brown Featuring Tyga & Kevin McCall,Deuces,Chris Brown
Somewhere With You,Kenny Chesney,Somewhere With You,Kenny Chesney
No Love,Eminem Featuring Lil Wayne,No Love,Eminem
My Kinda Party,Jason Aldean,My Kinda Party,Jason Aldean
Love The Way You Lie,Eminem Featuring Rihanna,Love The Way You Lie,Eminem
Felt Good On My Lips,Tim McGraw,Felt Good On My Lips,Tim McGraw
Love Like Woe,The Ready Set,Love Like Woe,The Ready Set
Stuck Like Glue,Sugarland,Stuck Like Glue,Sugarland
Can't Be Friends,Trey Songz,Can't Be Friends,Trey Songz
Pretty Girl Rock,Keri Hilson,Pretty Girl Rock,Keri Hilson
Memories,David Guetta Featuring Kid Cudi,Memories,David Guetta
As She's Walking Away,Zac Brown Band Featuring Alan Jackson,As She's Walking Away,Zac Brown Band
Dog Days Are Over,Florence + The Machine,Dog Days Are Over,Florence + The Machine
Jar Of Hearts,Christina Perri,Jar Of Hearts,Christina Perri
Mine,Taylor Swift,Mine,Taylor Swift
We No Speak Americano,Yolanda Be Cool & Dcup,We No Speak Americano,Yolanda Be Cool
Kush,Dr. Dre Featuring Snoop Dogg & Akon,Kush,Dr. Dre
Turn On The Radio,Reba,Turn On The Radio,Reba
Who Are You When I'm Not Looking,Blake Shelton,Who Are You When I'm Not Looking,Blake Shelton
Rhythm of Love,Plain White T's,Rhythm of Love,Plain White T's
Mama's Song,Carrie Underwood,Mama's Song,Carrie Underwood
"Baby, It's Cold Outside",Glee Cast,"Baby, It's Cold Outside",Glee Cast
Why Wait,Rascal Flatts,Why Wait,Rascal Flatts
Welcome Christmas,Glee Cast,Welcome Christmas,Glee Cast
Rocketeer,Far*East Movement Featuring Ryan Tedder,Rocketeer,Far*East Movement
Put You In A Song,Keith Urban,Put You In A Song,Keith Urban
Down On Me,Jeremih Featuring 50 Cent,Down On Me,Jeremih
Only Prettier,Miranda Lambert,Only Prettier,Miranda Lambert
Lay It Down,Lloyd,Lay It Down,Lloyd
Hold My Hand,Michael Jackson Duet With Akon,Hold My Hand,Michael Jackson Duet
The Breath You Take,George Strait,The Breath You Take,George Strait
